Day, Susceptible, Infected, Recovered, Dead, Detection Probability, R₀, Latent, Prodromal, Symptomless Infectious, Sick, Hospitalized, ICU, Isolated, Home Isolated, Infections, Sick, Med. Consult., Hospitalizations, ICU Adm., Deaths, Infections, Sick
186,59638105.2510168,9216413.99869262,16092103.7909303,53376.9593604614,1,3,2619015.49922631,643822.454409091,2500501.93892403,3453074.10613319,155388.334775994,38847.0836939984,0,3453074.10613319,25360894.7489834,12817452.9413019,5126981.17652074,576785.382358583,144196.345589646,53376.9593604614,663718.277845357,373517.700466512
187,58974386.9731715,9325928.24157998,16644475.6273488,55209.1579000325,1,3,2634126.13702346,648434.059170225,2538214.57906225,3505153.46632405,157731.905984582,39432.9764961456,0,3505153.46632405,26024613.0268288,13190970.6417684,5276388.25670735,593593.678879576,148398.419719894,55209.1579000325,665438.391453411,375582.594790738
188,58308948.581718,9426402.63280683,17207571.8565906,57076.9288847816,1,3,2646140.50877336,654301.880958669,2572903.30209142,3553056.94098338,159887.562344252,39971.890586063,0,3553056.94098338,26690051.4182822,13566553.2365591,5426621.29462364,610494.89564516,152623.72391129,57076.9288847816,666335.486693278,379569.684377082
189,57642613.0950248,9517374.86493544,17781032.9602357,58979.0798043724,1,3,2654971.41478514,657375.971334841,2606111.54110249,3598915.93771297,161951.217197084,40487.8042992709,0,3598915.93771297,27356386.9049755,13946122.9209362,5578449.16837448,627575.531442128,156893.882860532,58979.0798043724,666413.242622185,380978.581085518
190,56976199.8524026,9598425.95497343,18364459.9055434,60914.2870808157,1,3,2660585.99409443,661315.012086497,2636140.47849285,3640384.47029965,163817.301163484,40954.3252908711,0,3640384.47029965,28022800.1475977,14327101.5020217,5730840.60080868,644719.567590977,161179.891897744,60914.2870808157,665659.641572841,383609.47688093
191,56310540.2108297,9669164.37674814,18957414.3157889,62881.0966334684,1,3,2662921.78874991,663243.209209156,2664059.73909141,3678939.63969766,165552.283786395,41388.0709465987,0,3678939.63969766,28688459.7891705,14710710.9789026,5884284.39156105,661981.994050618,165495.498512655,62881.0966334684,664081.417822018,384345.985606058
192,55646458.7930077,9729244.36271068,19559418.9189147,64877.9253671959,1,3,2661978.96363041,665601.959726449,2688698.64452861,3712964.79482522,167083.415767135,41770.8539417837,0,3712964.79482522,29352541.2069925,15095056.9645087,6038022.78580348,679277.563402891,169819.390850723,64877.9253671959,661678.263345957,386066.587956544
193,54984780.5296618,9778358.06447593,20169958.3420548,66903.0638077817,1,3,2657726.2560125,665900.882489375,2710986.9889091,3743743.93706495,168468.477167923,42117.1192919807,0,3743743.93706495,30014219.4703385,15481123.5524652,6192449.4209861,696650.559860936,174162.639965234,66903.0638077817,658463.481742192,386224.850215662
194,54326317.0479196,9816248.14469035,20788480.1279171,68954.6794732325,1,3,2650190.48614134,665995.219937797,2730026.22421671,3770036.21439451,169651.629647753,42412.9074119382,0,3770036.21439451,30672682.9520807,15867348.4026809,6346939.36107236,714030.67812064,178507.66953016,68954.6794732325,654447.964299582,386133.943152068
195,53671869.08362,9842703.98751465,21414396.1074388,71030.8214268298,1,3,2639391.40255179,665494.08997853,2745883.76789342,3791934.72709091,170637.062719091,42659.2656797727,0,3791934.72709091,31327130.9163803,16253482.345833,6501392.93833319,731406.705562483,182851.676390621,71030.8214268298,649647.572551552,385958.332769534
